Strategy,Date,Ticker,Name,Entry_Price,Predicted_Return_AI,Actual_Return_Strategy,Days_Held,Exit_Reason
V8_Balanced,2024-11-12,007810,코리아써키트,8590,0.013126049897657277,-0.05,2,Stop_Loss
V5_Baseline,2024-11-12,008260,NI스틸,3465,0.015020159943310026,0.11976911976911978,5,Time_Cut
V6_Strategy,2024-11-12,008260,NI스틸,3465,0.015020159943310026,0.07,3,Take_Profit
V7_Aggressive,2024-11-12,008260,NI스틸,3465,0.015020159943310026,0.1,3,Take_Profit
V8_Balanced,2024-11-12,008260,NI스틸,3465,0.015020159943310026,0.05,3,Take_Profit
V5_Baseline,2024-11-12,009580,무림P&P,2560,0.0158874598704911,0.02734375,5,Time_Cut
V6_Strategy,2024-11-12,009580,무림P&P,2560,0.0158874598704911,-0.03,1,Stop_Loss
V7_Aggressive,2024-11-12,009580,무림P&P,2560,0.0158874598704911,0.02734375,5,Time_Cut
V8_Balanced,2024-11-12,009580,무림P&P,2560,0.0158874598704911,0.02734375,5,Time_Cut
V5_Baseline,2024-11-12,009835,한화솔루션우,15800,0.013468641816934464,-0.07531645569620253,5,Time_Cut
V6_Strategy,2024-11-12,009835,한화솔루션우,15800,0.013468641816934464,-0.03,1,Stop_Loss
V7_Aggressive,2024-11-12,009835,한화솔루션우,15800,0.013468641816934464,-0.05,2,Stop_Loss
V8_Balanced,2024-11-12,009835,한화솔루션우,15800,0.013468641816934464,-0.05,2,Stop_Loss
V5_Baseline,2024-11-12,011230,삼화전자,2595,0.01490140964643695,0.15028901734104047,5,Time_Cut
V6_Strategy,2024-11-12,011230,삼화전자,2595,0.01490140964643695,-0.03,1,Stop_Loss
V7_Aggressive,2024-11-12,011230,삼화전자,2595,0.01490140964643695,0.1,3,Take_Profit
V8_Balanced,2024-11-12,011230,삼화전자,2595,0.01490140964643695,0.05,3,Take_Profit
V5_Baseline,2024-11-12,011930,신성이엔지,1222,0.013813111382350944,-0.0032733224222585926,5,Time_Cut
V6_Strategy,2024-11-12,011930,신성이엔지,1222,0.013813111382350944,-0.03,3,Stop_Loss
V7_Aggressive,2024-11-12,011930,신성이엔지,1222,0.013813111382350944,-0.0032733224222585926,5,Time_Cut
V8_Balanced,2024-11-12,011930,신성이엔지,1222,0.013813111382350944,-0.0032733224222585926,5,Time_Cut
V5_Baseline,2024-11-12,014100,메디앙스,1950,0.015916855700711184,0.03333333333333333,5,Time_Cut
V6_Strategy,2024-11-12,014100,메디앙스,1950,0.015916855700711184,0.03333333333333333,5,Time_Cut
V7_Aggressive,2024-11-12,014100,메디앙스,1950,0.015916855700711184,0.03333333333333333,5,Time_Cut
V8_Balanced,2024-11-12,014100,메디앙스,1950,0.015916855700711184,0.03333333333333333,5,Time_Cut
V5_Baseline,2024-11-12,014710,사조씨푸드,5230,0.013252959932219274,-0.036328871892925434,5,Time_Cut
V6_Strategy,2024-11-12,014710,사조씨푸드,5230,0.013252959932219274,-0.03,1,Stop_Loss
V7_Aggressive,2024-11-12,014710,사조씨푸드,5230,0.013252959932219274,-0.05,3,Stop_Loss
V8_Balanced,2024-11-12,014710,사조씨푸드,5230,0.013252959932219274,-0.05,3,Stop_Loss
V5_Baseline,2024-11-12,025620,제이준코스메틱,4440,0.015677241841323436,-0.04842342342342342,5,Time_Cut
V6_Strategy,2024-11-12,025620,제이준코스메틱,4440,0.015677241841323436,-0.03,3,Stop_Loss
V7_Aggressive,2024-11-12,025620,제이준코스메틱,4440,0.015677241841323436,-0.05,3,Stop_Loss
V8_Balanced,2024-11-12,025620,제이준코스메틱,4440,0.015677241841323436,-0.05,3,Stop_Loss
V5_Baseline,2024-11-12,030210,다올투자증권,2500,0.019088330771949713,0.056,5,Time_Cut
V6_Strategy,2024-11-12,030210,다올투자증권,2500,0.019088330771949713,0.07,1,Take_Profit
V7_Aggressive,2024-11-12,030210,다올투자증권,2500,0.019088330771949713,0.056,5,Time_Cut
V8_Balanced,2024-11-12,030210,다올투자증권,2500,0.019088330771949713,0.05,1,Take_Profit
V5_Baseline,2024-11-12,033530,SJG세종,3990,0.017957869386194154,0.040100250626566414,5,Time_Cut
V6_Strategy,2024-11-12,033530,SJG세종,3990,0.017957869386194154,-0.03,1,Stop_Loss
V7_Aggressive,2024-11-12,033530,SJG세종,3990,0.017957869386194154,-0.05,3,Stop_Loss
V8_Balanced,2024-11-12,033530,SJG세종,3990,0.017957869386194154,-0.05,3,Stop_Loss
V5_Baseline,2024-11-12,036480,대성미생물,9360,0.013845173236409079,0.009615384615384616,5,Time_Cut
V6_Strategy,2024-11-12,036480,대성미생물,9360,0.013845173236409079,-0.03,2,Stop_Loss
V7_Aggressive,2024-11-12,036480,대성미생물,9360,0.013845173236409079,0.009615384615384616,5,Time_Cut
V8_Balanced,2024-11-12,036480,대성미생물,9360,0.013845173236409079,0.009615384615384616,5,Time_Cut
V5_Baseline,2024-11-12,036710,심텍홀딩스,1242,0.022531624160074884,-0.033816425120772944,5,Time_Cut
V6_Strategy,2024-11-12,036710,심텍홀딩스,1242,0.022531624160074884,-0.03,1,Stop_Loss
V7_Aggressive,2024-11-12,036710,심텍홀딩스,1242,0.022531624160074884,-0.05,1,Stop_Loss
V8_Balanced,2024-11-12,036710,심텍홀딩스,1242,0.022531624160074884,-0.05,1,Stop_Loss
V5_Baseline,2024-11-12,038110,에코플라스틱,2565,0.012475278058135917,-0.017543859649122806,5,Time_Cut
V6_Strategy,2024-11-12,038110,에코플라스틱,2565,0.012475278058135917,-0.03,1,Stop_Loss
V7_Aggressive,2024-11-12,038110,에코플라스틱,2565,0.012475278058135917,-0.05,2,Stop_Loss
V8_Balanced,2024-11-12,038110,에코플라스틱,2565,0.012475278058135917,-0.05,2,Stop_Loss
V5_Baseline,2024-11-12,041920,메디아나,4035,0.013631598521217998,0.22800495662949194,5,Time_Cut
V6_Strategy,2024-11-12,041920,메디아나,4035,0.013631598521217998,-0.03,1,Stop_Loss
V7_Aggressive,2024-11-12,041920,메디아나,4035,0.013631598521217998,-0.05,1,Stop_Loss
V8_Balanced,2024-11-12,041920,메디아나,4035,0.013631598521217998,-0.05,1,Stop_Loss
V5_Baseline,2024-11-12,042520,한스바이오메드,7120,0.016855964778374307,0.02949438202247191,5,Time_Cut
V6_Strategy,2024-11-12,042520,한스바이오메드,7120,0.016855964778374307,-0.03,2,Stop_Loss
V7_Aggressive,2024-11-12,042520,한스바이오메드,7120,0.016855964778374307,-0.05,3,Stop_Loss
V8_Balanced,2024-11-12,042520,한스바이오메드,7120,0.016855964778374307,0.05,1,Take_Profit
V5_Baseline,2024-11-12,043590,웰킵스하이텍,580,0.025932582142822184,-0.032758620689655175,5,Time_Cut
V6_Strategy,2024-11-12,043590,웰킵스하이텍,580,0.025932582142822184,-0.03,1,Stop_Loss
V7_Aggressive,2024-11-12,043590,웰킵스하이텍,580,0.025932582142822184,-0.05,1,Stop_Loss
V8_Balanced,2024-11-12,043590,웰킵스하이텍,580,0.025932582142822184,0.05,1,Take_Profit
V5_Baseline,2024-11-12,050760,에스폴리텍,1460,0.012474269410651401,-0.11643835616438356,5,Time_Cut
V6_Strategy,2024-11-12,050760,에스폴리텍,1460,0.012474269410651401,-0.03,1,Stop_Loss
V7_Aggressive,2024-11-12,050760,에스폴리텍,1460,0.012474269410651401,-0.05,2,Stop_Loss
V8_Balanced,2024-11-12,050760,에스폴리텍,1460,0.012474269410651401,-0.05,2,Stop_Loss
V5_Baseline,2024-11-12,051780,큐로홀딩스,1103,0.03480337411882702,-0.04895738893925657,5,Time_Cut
V6_Strategy,2024-11-12,051780,큐로홀딩스,1103,0.03480337411882702,-0.03,1,Stop_Loss
V7_Aggressive,2024-11-12,051780,큐로홀딩스,1103,0.03480337411882702,-0.05,1,Stop_Loss
V8_Balanced,2024-11-12,051780,큐로홀딩스,1103,0.03480337411882702,-0.05,1,Stop_Loss
V5_Baseline,2024-11-12,052460,아이크래프트,2060,0.012140249137370131,0.009708737864077669,5,Time_Cut
V6_Strategy,2024-11-12,052460,아이크래프트,2060,0.012140249137370131,0.009708737864077669,5,Time_Cut
V7_Aggressive,2024-11-12,052460,아이크래프트,2060,0.012140249137370131,0.009708737864077669,5,Time_Cut
V8_Balanced,2024-11-12,052460,아이크래프트,2060,0.012140249137370131,0.009708737864077669,5,Time_Cut
V5_Baseline,2024-11-12,053260,금강철강,4200,0.015224242285084396,0.03214285714285714,5,Time_Cut
V6_Strategy,2024-11-12,053260,금강철강,4200,0.015224242285084396,-0.03,1,Stop_Loss
V7_Aggressive,2024-11-12,053260,금강철강,4200,0.015224242285084396,-0.05,1,Stop_Loss
V8_Balanced,2024-11-12,053260,금강철강,4200,0.015224242285084396,-0.05,1,Stop_Loss
V5_Baseline,2024-11-12,053700,삼보모터스,3935,0.012809179846243055,0.01905972045743329,5,Time_Cut
V6_Strategy,2024-11-12,053700,삼보모터스,3935,0.012809179846243055,-0.03,2,Stop_Loss
V7_Aggressive,2024-11-12,053700,삼보모터스,3935,0.012809179846243055,0.01905972045743329,5,Time_Cut
V8_Balanced,2024-11-12,053700,삼보모터스,3935,0.012809179846243055,0.05,4,Take_Profit
V5_Baseline,2024-11-12,055490,테이팩스,14650,0.012360356552751948,-0.039590443686006824,5,Time_Cut
V6_Strategy,2024-11-12,055490,테이팩스,14650,0.012360356552751948,-0.03,1,Stop_Loss
V7_Aggressive,2024-11-12,055490,테이팩스,14650,0.012360356552751948,-0.05,1,Stop_Loss
V8_Balanced,2024-11-12,055490,테이팩스,14650,0.012360356552751948,-0.05,1,Stop_Loss
V5_Baseline,2024-11-12,060900,DGP,1045,0.012784674214812308,0.01818181818181818,5,Time_Cut
V6_Strategy,2024-11-12,060900,DGP,1045,0.012784674214812308,-0.03,1,Stop_Loss
V7_Aggressive,2024-11-12,060900,DGP,1045,0.012784674214812308,-0.05,2,Stop_Loss
V8_Balanced,2024-11-12,060900,DGP,1045,0.012784674214812308,-0.05,2,Stop_Loss
V5_Baseline,2024-11-12,064850,에프앤가이드,8820,0.014474504922098523,-0.05215419501133787,5,Time_Cut
V6_Strategy,2024-11-12,064850,에프앤가이드,8820,0.014474504922098523,-0.03,1,Stop_Loss
V7_Aggressive,2024-11-12,064850,에프앤가이드,8820,0.014474504922098523,-0.05,1,Stop_Loss
V8_Balanced,2024-11-12,064850,에프앤가이드,8820,0.014474504922098523,-0.05,1,Stop_Loss
V5_Baseline,2024-11-12,066910,손오공,1160,0.021086849043475783,0.07844827586206897,5,Time_Cut
V6_Strategy,2024-11-12,066910,손오공,1160,0.021086849043475783,-0.03,1,Stop_Loss
V7_Aggressive,2024-11-12,066910,손오공,1160,0.021086849043475783,0.1,3,Take_Profit
V8_Balanced,2024-11-12,066910,손오공,1160,0.021086849043475783,0.05,3,Take_Profit
V5_Baseline,2024-11-12,068790,DMS,5000,0.012394691841411249,-0.048,5,Time_Cut
V6_Strategy,2024-11-12,068790,DMS,5000,0.012394691841411249,-0.03,2,Stop_Loss
V7_Aggressive,2024-11-12,068790,DMS,5000,0.012394691841411249,-0.05,2,Stop_Loss
V8_Balanced,2024-11-12,068790,DMS,5000,0.012394691841411249,-0.05,2,Stop_Loss
V5_Baseline,2024-11-12,069920,엑시온그룹,1046,0.02276502026309404,-0.21032504780114722,5,Time_Cut
V6_Strategy,2024-11-12,069920,엑시온그룹,1046,0.02276502026309404,-0.03,1,Stop_Loss
V7_Aggressive,2024-11-12,069920,엑시온그룹,1046,0.02276502026309404,-0.05,1,Stop_Loss
