date,code,PER,PBR
20151116,045340,7.37,2.08
20151116,047820,,0.47
20151116,048430,6.31,0.59
20151116,049630,,1.73
20151116,054410,16.75,0.37
20151116,054220,,1.05
20151116,052460,,0.81
20151116,049180,,4.4
20151116,052860,,1.19
20151116,056080,,14.59
20151116,054630,,2.31
20151116,058450,,1.02
20151116,056730,,0.62
20151116,056360,,0.41
20151116,063170,,1.09
20151116,063440,10.62,1.14
20151116,078350,28.03,2.11
20151116,065420,,2.29
20151116,064090,,0.83
20151116,071950,,
20151116,072470,,0.5
20151116,079970,,0.34
20151116,086220,,
20151116,080530,35.5,1.12
20151116,079190,,1.08
20151116,084440,71.71,2.61
20151116,083930,9.18,1.09
20151116,087010,,46.13
20151116,088790,12.66,0.23
20151116,086520,,7.75
20151116,089590,,1.51
20151116,103660,,
20151116,089790,,0.7
20151116,096870,37.93,1.15
20151116,095270,,1.22
20151116,097780,,0.3
20151116,100840,22.78,2.61
20151116,106240,,0.39
20151116,106520,,0.92
20151116,116100,,
20151116,114920,,
20151116,124500,25.49,4.84
20151116,107640,29.58,5.73
20151116,115610,,3.88
20151116,126340,,4.2
20151116,121800,4.37,0.39
20151116,118000,164.5,0.46
20151116,136660,,
20151116,131290,13.77,1.65
20151116,137400,10.19,1.69
20151116,140660,,
20151116,141000,6.04,0.45
20151116,142760,,2.27
20151116,138930,6.6,0.44
20151116,176750,31.19,5.82
20151116,178600,,
20151116,180400,,32.11
20151116,143540,,1.22
20151116,148250,,1.58
20151116,196490,,
20151116,200470,,4.03
20151116,179720,,
20151116,200880,3.96,0.29
20151116,199800,65.17,10.46
20151116,200350,,1.39
20151116,202960,,
20151116,205100,20.29,1.35
20151116,203400,,14.78
20151116,229500,,
20151116,220180,60.0,0.6
20151116,211050,9.33,3.39
20151116,225220,,0.53
20151116,215360,11.21,0.65
20151116,213420,21.83,2.32
20151117,000157,,5.67
20151117,005860,23.8,0.77
20151117,004870,,0.44
20151117,001260,11.94,0.57
20151117,004310,150.42,1.18
20151117,006740,,0.49
20151117,006090,7.53,0.37
20151117,005960,,0.27
20151117,005965,,0.89
20151117,001515,,1.55
20151117,009240,8.16,1.92
20151117,014200,,0.57
20151117,014910,13.43,0.58
20151117,014825,8.69,0.64
20151117,011420,20.21,0.66
20151117,011200,4.48,0.77
20151117,018700,,1.06
20151117,018290,7.64,3.11
20151117,019170,,2.78
20151117,017000,19.96,0.24
20151117,019660,,2.75
20151117,024740,23.78,0.53
20151117,020150,,0.79
20151117,021045,,1.35
20151117,021880,52.0,0.71
20151117,024850,,1.18
20151117,025880,6.26,0.55
20151117,031820,6.8,0.35
20151117,035290,,1.39
20151117,041590,,2.99
20151117,035620,,0.47
20151117,039740,6.22,0.48
20151117,043340,,1.6
20151117,043710,,1.32
20151117,042940,,0.43
20151117,043090,,0.21
20151117,046070,,7.2
20151117,048430,6.31,0.59
20151117,049180,,4.4
