재무제표종류	종목코드	회사명	시장구분	업종	업종명	결산월	결산기준일	보고서종류	통화	항목코드	항목명	당기	전기	전전기	
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	dart_LongTermDepositsNotClassifiedAsCashEquivalents	      장기금융상품	1,061,310,643	2,991,049,952	502,320,717
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	entity00365387_udf_BS_2020111610258129_NoncurrentAssets	      상각후원가측정금융자산			
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	ifrs-full_NoncurrentFinancialAssetsAtFairValueThroughProfitOrLossDesignatedUponInitialRecognition	      당기손익-공정가치 측정금융자산	17,347,119,841	49,540,727,855	22,330,267,144
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	ifrs-full_NoncurrentFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome	      기타포괄손익-공정가치 측정 금융자산	14,147,090,072	12,704,302,887	7,352,135,211
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	entity00365387_udf_BS_20171113195237304_NoncurrentAssets	      관계회사투자	63,209,882,090	16,994,795,552	15,112,548,198
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	dart_RentalAssetGross	      렌탈자산	610,418,014,154	622,958,155,626	589,658,906,950
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	ifrs-full_PropertyPlantAndEquipment	      유형자산	229,558,956,116	272,817,241,977	245,055,468,592
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	ifrs-full_IntangibleAssetsOtherThanGoodwill	      무형자산	41,736,559,679	83,867,610,996	79,481,799,795
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	ifrs-full_InvestmentProperty	      투자부동산	14,390,574,809	2,966,232,529	1,904,623,279
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	ifrs-full_RightofuseAssets	      사용권자산	165,689,949,929	138,023,790,785	
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	dart_LongTermTradeAndOtherNonCurrentReceivablesGross	      매출채권(비유동)	2,070,294,802		
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	ifrs-full_OtherNoncurrentFinancialAssets	      기타비유동금융자산	41,333,972,810	78,062,355,074	90,723,567,321
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	dart_OtherNonCurrentAssets	      기타비유동자산	10,458,092,281	1,488,364,090	2,323,637,197
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	ifrs-full_DeferredTaxAssets	      이연법인세자산	22,061,899,023	19,785,203,558	8,623,355,744
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	ifrs-full_Assets	   자산총계	1,588,170,350,000	1,803,255,225,986	2,575,139,461,359
재무상태표, 유동/비유동법-연결재무제표	[095570]	AJ네트웍스	유가증권시장상장법인	763	산업용 기계 및 장비 임대업	12	2020-12-31	사업보고서	KRW	ifrs-full_LiabilitiesAbstract	부채 [abstract]			
