Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,"■ 영웅문4(HTS) - 키움 REST API, 키움 OPEN API + TR 매칭",,,
,,,,
,업데이트 일자  ,2025.11.06,,
,공식 홈페이지 주소,https://openapi.kiwoom.com/,,
,,,,
,영웅문4 화면번호,영웅문4 화면명,키움 REST API,키움 OPEN API + 
,1052,장중투자자별매매종합(잠정),"ka10063 장중투자자별매매요청
ka10064 장중투자자별매매차트요청","OPT10041 조기종료통화단위요청
OPT10063 장중투자자별매매요청
OPT10064 장중투자자별매매차트요청"
,1053,장중투자자별매매상위(잠정),ka10065 장중투자자별매매상위요청,OPT10065 장중투자자별매매상위요청
,1054,장마감후투자자별매매,ka10066 장마감후투자자별매매요청,OPT10066 장중투자자별매매차트요청
,1060,대차거래내역,ka90012 대차거래내역요청,OPT10067 대차거래내역요청
,1061,대차거래추이,"ka10068 대차거래추이요청
ka20068 대차거래추이요청(종목별)","OPT10068 대차거래추이요청
OPT20068 대차거래추이요청(종목별)"
,1062,대차거래상위10종목,ka10069 대차거래상위10종목요청,OPT10069 대차거래상위10종목요청
,0349,일별 추정예탁자산 현황,kt00002 일별추정예탁자산현황요청,OPW00002 일별추정예탁자산현황요청
,0341,실시간미체결,ka10075 미체결요청,OPT10075 실시간미체결요청
,0345,실시간잔고,"kt00003 추정자산조회요청
ka10085 계좌수익률요청","OPW00003 추정자산조회요청
OPT10085 계좌수익률요청"
,0346,실시간계좌관리(T) - 잔고확인,kt00004 계좌평가현황요청,OPW00004 계좌평가현황요청
,0391,계좌평가 잔고내역(합산),kt00018 계좌평가잔고내역요청,OPW00018 계좌평가잔고내역요청
,0309,실시간잔고-미체결,"ka10075 미체결요청
kt00003 추정자산조회요청
ka10085 계좌수익률요청","OPT10075 실시간미체결요청
OPW00003 추정자산조회요청
OPT10085 계좌수익률요청"
,0351,주문체결내역 - 주문체결내역 - 금일주문체결내역,kt00007 계좌별주문체결내역상세요청,OPW00007 계좌별주문체결내역상세요청
,0352,주문체결내역 - 주문체결내역 - 전일체결내역,kt00008 계좌별익일결제예정내역요청,OPW00008 계좌별익일결제예정내역요청
,0347,주문인출 가능금 추정,kt00010 주문인출가능금액요청,OPW00010 주문인출가능금액요청
,0399,주문가능수량(종목별_증거금률별),"kt00011 증거금율별주문가능수량조회요청
kt00012 신용보증금율별주문가능수량조회요청","OPW00011 증거금율별주문가능수량조회요청
OPW00012 신용보증금율별주문가능수량조회요청"
,0397,주식증거금상세,kt00013 증거금세부내역조회요청,OPW00013 증거금세부내역조회요청
,0353,실시간계좌관리(T)-당일매매일지,ka10170 당일매매일지요청,"OPW00014 비밀번호일치여부요청
OPT10170 당일매매일지요청"
,0354,당일매매정리,-,OPW00014 비밀번호일치여부요청
,0391,계좌평가잔고내역,kt00004 계좌평가현황요청,OPW00004 계좌평가현황요청
,0366,계좌잔고 상세내역 조회,kt00004 계좌평가현황요청,OPW00004 계좌평가현황요청
,0351,금일주문체결내역,kt00009 계좌별주문체결현황요청,OPW00009 계좌별주문체결현황요청
,0348,결제예정내역상세,kt00008 계좌별익일결제예정내역요청,OPW00008 계좌별익일결제예정내역요청
,0489,위탁종합계좌거래내역,kt00015 위탁종합거래내역요청,OPW00015 위탁종합거래내역요청
,0391,계좌평가잔고내역,kt00004 계좌평가현황요청,OPW00004 계좌평가현황요청
,0366,계좌잔고 상세내역 조회,kt00004 계좌평가현황요청,OPW00004 계좌평가현황요청
,0392,일별계좌수익률현황,kt00016 일별계좌수익률상세현황요청,OPW00016 일별계좌수익률상세현황요청
,0392,주식수익률현황 - 일별주식수익률현황,kt00017 계좌별당일현황요청,OPW00017 계좌별당일현황요청
,0393,주식수익률현황 - 월별주식수익률현황,kt00017 계좌별당일현황요청,OPW00017 계좌별당일현황요청
,0769,프로그램매매 - 프로그램매매추이차트,-,OPT50008 프로그램매매추이차트요청
,0489,위탁종합계좌 거래내역,kt00015 위탁종합거래내역요청,OPW00015 위탁종합거래내역요청
,0879,신용융자가능종목,kt20016 신용융자 가능종목요청,OPW20016 신용융자 가능종목요청
,0366,계좌잔고 상세내역 조회,kt00005 체결잔고요청,OPW00005 체결잔고요청
,0127,거래원순간거래량,ka10052 거래원순간거래량요청,OPT10052 거래원순간거래량요청
